obs_date,sat_date,NDVI,TCB,TCG,TCW,status
16-12-06,16-12-06,2841,3447,507,-1417,1
06-12-06,07-12-06,1360,3344,74,-1272,1
02-12-06,30-11-06,1498,5290,146,-2295,1
02-12-06,01-12-06,3255,4545,816,-2044,1
30-11-06,22-11-06,950,4906,-36,-1742,1
27-11-06,01-12-06,3713,3503,739,-1366,1
19-11-06,15-11-06,3408,4111,727,-1925,1
19-11-06,18-11-06,575,5919,-297,-2535,1
02-10-06,25-09-06,1304,4177,37,-2333,1
23-09-06,17-09-06,3555,3402,606,-1548,1
15-09-06,14-09-06,1299,4392,41,-1912,1
15-09-06,14-09-06,1382,3496,136,-925,1
15-09-06,14-09-06,2588,3602,289,-2394,1
12-09-06,14-09-06,2051,4253,165,-2856,1
11-09-06,14-09-06,2383,3982,242,-2746,1
07-09-06,13-09-06,1224,3888,-20,-2420,1
06-09-06,29-08-06,2102,4512,248,-2596,1
05-09-06,29-08-06,3575,4145,761,-1894,1
01-09-06,29-08-06,2584,4449,421,-2341,1
30-08-06,02-09-06,1178,4673,-21,-2473,1
20-08-06,24-08-06,-1323,1440,-287,351,1
12-08-06,01-08-06,1857,4804,223,-2603,1
27-07-06,16-07-06,3026,4135,550,-1887,1
12-06-06,11-06-06,3579,4227,721,-2387,1
12-06-06,11-06-06,3254,4680,687,-2557,1
12-06-06,11-06-06,3447,4791,882,-2191,1
12-06-06,11-06-06,2113,4069,225,-2359,1
12-06-06,19-06-06,2713,4152,350,-2705,1
12-06-06,07-06-06,2878,3471,593,-716,1
11-06-06,11-06-06,3036,4623,610,-2349,1
11-06-06,05-06-06,3075,3680,409,-2608,1
10-06-06,05-06-06,3702,3511,634,-1939,1
10-06-06,05-06-06,4323,3546,730,-2441,1
09-06-06,05-06-06,4799,3239,770,-2132,1
09-06-06,05-06-06,4024,3625,649,-2506,1
08-06-06,05-06-06,2955,4513,564,-2436,1
08-06-06,05-06-06,2335,3961,191,-2867,1
08-06-06,05-06-06,2266,4739,343,-2575,1
06-06-06,05-06-06,2156,4672,191,-3385,1
25-05-06,28-05-06,2878,4459,481,-2608,1
25-05-06,03-06-06,2387,4494,313,-2369,1
23-05-06,28-05-06,2955,5300,536,-3092,1
23-05-06,28-05-06,3453,4488,619,-2749,1
20-05-06,21-05-06,3012,3819,381,-2412,1
20-05-06,21-05-06,3021,3855,398,-2419,1
18-05-06,21-05-06,3341,4197,585,-2436,1
18-05-06,21-05-06,3800,3622,628,-2140,1
18-05-06,21-05-06,2443,4159,291,-2540,1
18-05-06,21-05-06,2525,3560,279,-1937,1
17-05-06,05-05-06,1394,3098,-18,-1923,1
16-05-06,05-05-06,2092,4029,145,-2559,1
15-05-06,10-05-06,2439,2995,124,-1982,1
14-05-06,10-05-06,3109,3713,482,-1884,1
06-04-06,12-04-06,1573,4751,145,-1672,1
02-03-06,15-03-06,1614,3787,153,-1403,1
13-02-06,18-02-06,1015,8255,-180,-3789,1
09-02-06,22-02-06,1376,5976,135,-2706,1
25-11-05,19-11-05,4021,2665,586,-1217,1
22-11-05,19-11-05,3232,2670,417,-1211,1
17-11-05,18-11-05,3775,4437,867,-2410,1
14-11-05,11-11-05,814,7348,-66,-3321,1
14-11-05,09-11-05,3429,5089,929,-1803,1
10-11-05,03-11-05,3683,3420,844,-917,1
25-10-05,26-10-05,2563,3998,541,-1493,1
10-10-05,12-10-05,1009,4639,-70,-1696,1
11-09-05,03-09-05,1689,5570,259,-3032,1
22-08-05,18-08-05,-2469,514,-204,122,1
15-08-05,12-08-05,5836,3347,1368,-1391,1
20-06-05,21-06-05,1011,4218,-88,-1883,1
19-06-05,30-06-05,2038,3244,197,-1617,1
18-06-05,21-06-05,3481,3034,533,-1604,1
16-06-05,02-06-05,3285,3659,502,-2197,1
13-06-05,01-06-05,2553,6279,640,-3153,1
12-06-05,04-06-05,3697,4429,1005,-1733,1
10-06-05,02-06-05,3572,3878,578,-2580,1
07-06-05,02-06-05,845,6393,-192,-2760,1
30-05-05,17-05-05,5265,3479,1007,-2025,1
30-05-05,02-06-05,3893,3462,600,-2196,1
26-05-05,16-05-05,4778,2894,787,-1514,1
24-05-05,17-05-05,5540,3193,1035,-1838,1
24-05-05,17-05-05,5191,3069,882,-1739,1
22-05-05,17-05-05,3922,3596,655,-2277,1
20-05-05,17-05-05,6246,3049,1255,-1374,1
20-05-05,17-05-05,5303,3274,1067,-1599,1
20-05-05,17-05-05,6330,3299,1411,-1542,1
19-05-05,17-05-05,3802,4112,708,-2629,1
18-05-05,20-05-05,4301,3198,665,-2026,1
12-05-05,17-05-05,5902,3464,1374,-1493,1
11-05-05,17-05-05,5527,3780,1481,-1356,1
08-05-05,20-05-05,2051,3318,-12,-2842,1
07-05-05,02-05-05,3097,3374,386,-2141,1
05-05-05,07-05-05,2847,2980,304,-1769,1
05-05-05,07-05-05,1871,3404,87,-2177,1
12-04-05,07-04-05,1375,918,18,73,1
10-02-05,13-02-05,2649,4387,508,-2361,1
09-02-05,03-02-05,1050,5907,21,-2760,1
27-01-05,28-01-05,2027,4465,187,-2630,1
21-01-05,28-01-05,1499,5068,213,-2339,1
21-01-05,12-01-05,2279,3079,299,-1318,1
28-12-04,27-12-04,5450,3250,1193,-1242,1
08-11-04,09-11-04,2489,3590,299,-1768,1
06-11-04,23-10-04,1256,5041,5,-2606,1
02-11-04,28-10-04,3102,3668,625,-1006,1
22-10-04,23-10-04,621,5752,-211,-2555,1
03-10-04,28-09-04,3666,3563,796,-1448,1
27-08-04,22-08-04,2623,4518,432,-2463,1
24-08-04,22-08-04,4118,3715,787,-2065,1
