system:index,country,id,median,region,season,year,.geo
0_00000000000000000003,Kazakhstan,4,0.09791818431700033,Korgalzhyn-Kazakhstan,breed,1995.0,"{""type"":""Polygon"",""coordinates"":[[[69.31982053416773,50.108327636481214],[69.37596505370263,50.10832765178],[69.43210957025613,50.10832757768204],[69.48825415105647,50.1083275913334],[69.54439869968407,50.1083275940948],[69.60054317407251,50.10832757935126],[69.65668775041048,50.1083275803942],[69.71283222303416,50.10832764241997],[69.76897676676862,50.108327634787216],[69.82512139383446,50.10832764237063],[69.88126584316076,50.10832761897623],[69.93741039901684,50.10832761697797],[69.993555018153,50.108327629443664],[70.04969954820682,50.10832763004118],[70.10584405472957,50.10832763156965],[70.16198860303322,50.108327646637235],[70.16198855778208,50.942045751859986],[70.10584405472504,50.94204570542923],[70.04969949931657,50.942045718810746],[69.99355498686857,50.94204572529227],[69.93741044703758,50.94204571148359],[69.88126586617699,50.94204575681581],[69.82512139438789,50.94204572169129],[69.7689768513308,50.94204573851723],[69.71283233226119,50.94204574067809],[69.65668776594438,50.942045714374636],[69.60054313729003,50.94204573877794],[69.54439865330167,50.942045767763354],[69.48825413052977,50.94204576705653],[69.43210960882165,50.94204574297359],[69.37596496015331,50.94204575399438],[69.3198205034349,50.94204577490929],[69.26367594257785,50.9420457502347],[69.2636759985656,50.10832761014815],[69.31982053416773,50.108327636481214]]]}"
0_0000000000000000000e,Kazakhstan,4,0.09990232648342762,Pavlodar-Kazakhstan,breed,1995.0,"{""type"":""Polygon"",""coordinates"":[[[76.8326833486595,52.69238112612003],[76.88882788975582,52.69238111450162],[76.94497242715188,52.69238114647892],[77.00111705303267,52.692381149635104],[77.05726159723292,52.69238110532918],[77.1134060759295,52.692381098774646],[77.16955065460544,52.69238114854122],[77.22569520007744,52.69238115728203],[77.28183976501153,52.6923811311116],[77.33798425330835,52.69238114284309],[77.39412875416843,52.69238111959606],[77.45027339435194,52.69238115817706],[77.50641792750619,52.69238114947229],[77.56256240496171,52.692381099422434],[77.61870695300745,52.69238110465541],[77.67485151125908,52.69238115899043],[77.6748515334074,53.5260992358131],[77.61870698220024,53.526099272916646],[77.56256243089305,53.52609922939816],[77.50641786242184,53.52609927083996],[77.4502734071079,53.526099243181385],[77.39412881813799,53.52609928763884],[77.33798422586511,53.526099250059886],[77.28183976326886,53.52609922838207],[77.22569521901895,53.526099283536134],[77.16955060921961,53.52609924912224],[77.11340606579608,53.52609922309815],[77.05726149061486,53.52609927845584],[77.00111701481669,53.5260992615078],[76.94497253988386,53.52609924513952],[76.8888279663037,53.52609930197944],[76.8326834254498,53.5260992783807],[76.77653881743163,53.52609924686189],[76.77653889957448,52.69238110881982],[76.8326833486595,52.69238112612003]]]}"
0_00000000000000000001,Saudi Arab,2,0.09725403477478387,Pivot irrigation I-Saudi Arabia,stopover,1995.0,"{""type"":""Polygon"",""coordinates"":[[[37.85755863733064,29.6947012042561],[37.91370343086009,29.694701230038692],[37.96984828716232,29.694701249580618],[38.02599308042785,29.694701261357487],[38.08213792673931,29.694701257506622],[38.13828277994933,29.694701208871198],[38.194427593461555,29.694701236585814],[38.250572400720394,29.694701208551844],[38.30671723445138,29.694701217965],[38.362862046304606,29.694701234657895],[38.41900686776571,29.694701200945556],[38.47515164937808,29.694701236364505],[38.53129650153414,29.694701180170977],[38.587441293379946,29.694701253653218],[38.643586133922675,29.694701220570135],[38.69973097127617,29.694701199191503],[38.69973097127617,30.528419310511637],[38.643586133922675,30.52841935270717],[38.587441293379946,30.528419353614858],[38.531296501534136,30.528419346651237],[38.47515164937808,30.52841934629919],[38.41900686776572,30.52841935759035],[38.36286204630461,30.528419319680864],[38.30671723445138,30.52841933965033],[38.250572400720394,30.528419328077007],[38.194427593461555,30.528419316873286],[38.13828277994932,30.528419365535868],[38.08213792673931,30.5284193835512],[38.02599308042785,30.52841932714172],[37.96984828716232,30.52841937713068],[37.913703430860096,30.528419394685322],[37.857558637330634,30.52841938263025],[37.80141378913298,30.528419351232824],[37.80141378913298,29.694701254902196],[37.85755863733064,29.6947012042561]]]}"
0_00000000000000000009,Saudi Arab,2,0.09323843258262193,Pivot irrigation II-Saudi Arabia,stopover,1995.0,"{""type"":""Polygon"",""coordinates"":[[[35.94588849591894,28.262058932146758],[36.002033315784956,28.26205896625175],[36.05817819443668,28.262058953367188],[36.11432293856182,28.262058926571086],[36.1704677691813,28.26205894702736],[36.226612575002925,28.262058944890146],[36.28275741002314,28.262058953921343],[36.33890224490431,28.262058955765504],[36.39504704988808,28.262058931906655],[36.451191877345146,28.262058915202267],[36.50733669648998,28.26205896353327],[36.563481558541035,28.26205895519965],[36.619626349313826,28.262058973124542],[36.67577120135772,28.26205894655588],[36.73191599957405,28.262058957888065],[36.78806079304461,28.262058961347435],[36.78806079304461,29.095777060391598],[36.73191599957405,29.095777025616947],[36.67577120135771,29.095777080326407],[36.619626349313826,29.09577704317093],[36.563481558541035,29.095777062907292],[36.50733669648997,29.095777060019373],[36.451191877345146,29.095777106439147],[36.39504704988808,29.095777095971535],[36.33890224490431,29.095777049404347],[36.28275741002314,29.09577708991639],[36.22661257500292,29.095777084431433],[36.17046776918131,29.09577705305003],[36.11432293856182,29.095777041416454],[36.05817819443667,29.09577704353644],[36.002033315784956,29.095777079008556],[35.94588849591894,29.0957770387039],[35.88974367875434,29.095777044151216],[35.88974367875434,28.262058970693708],[35.94588849591894,28.262058932146758]]]}"
0_00000000000000000002,Afghanista,3,0.0970683234272822,Lowlands-Northern Afghanistan,stopover,1995.0,"{""type"":""Polygon"",""coordinates"":[[[64.91627985454568,36.404814483772405],[64.97242436970807,36.40481443664761],[65.0285688861983,36.40481447619536],[65.0847134279953,36.40481443364624],[65.14085801914307,36.40481444991729],[65.19700250261404,36.40481447071842],[65.25314708365116,36.404814444053024],[65.30929160528858,36.40481447040053],[65.3654361823313,36.40481447717886],[65.42158074844814,36.40481442929214],[65.47772523730528,36.404814446900886],[65.53386976386282,36.40481445657032],[65.59001435251835,36.404814442362905],[65.64615884636574,36.40481442658735],[65.70230345118506,36.40481443220771],[65.75844791940432,36.40481446176085],[65.75844791940432,37.2385325525843],[65.70230345118506,37.238532565563936],[65.64615884636574,37.238532548702764],[65.59001435251835,37.238532576495025],[65.53386976386282,37.2385325475363],[65.47772523730528,37.2385325931616],[65.42158074844814,37.238532574380656],[65.3654361823313,37.23853256241784],[65.30929160528858,37.23853259130376],[65.25314708365117,37.23853261824422],[65.19700250261404,37.238532560117754],[65.14085801914307,37.23853254743126],[65.0847134279953,37.238532552996205],[65.0285688861983,37.23853255354246],[64.97242436970807,37.23853256190243],[64.91627985454568,37.23853259062484],[64.86013531679997,37.23853257539646],[64.86013531679997,36.40481447617714],[64.91627985454568,36.404814483772405]]]}"
0_0000000000000000000a,Uzbek-Turk,3,0.09600298370708042,Tallymarzhan-Turkmenistan-Uzbekistan,stopover,1995.0,"{""type"":""Polygon"",""coordinates"":[[[65.26037978655913,37.86110332221675],[65.31652433404803,37.86110337442019],[65.37266882611867,37.8611033628894],[65.42881337764184,37.86110337084582],[65.48495792231853,37.86110336489426],[65.54110248449555,37.8611033315313],[65.59724699790327,37.86110338945706],[65.65339157761616,37.86110339229623],[65.70953606673766,37.86110336227984],[65.76568058041153,37.86110330490929],[65.82182514315556,37.86110335806201],[65.87796968879921,37.861103334549256],[65.93411424189189,37.861103371912236],[65.99025882701295,37.86110337849858],[66.04640328725867,37.86110337597464],[66.10254782872848,37.861103311345744],[66.10254782872848,38.69482148907261],[66.04640328725867,38.69482143093221],[65.99025882701295,38.694821484414945],[65.93411424189189,38.69482147371349],[65.87796968879921,38.694821452583064],[65.82182514315558,38.694821435147816],[65.76568058041153,38.69482143524708],[65.70953606673766,38.694821486406035],[65.65339157761616,38.69482145142404],[65.59724699790327,38.694821474068824],[65.54110248449555,38.69482145674559],[65.48495792231853,38.694821467371874],[65.42881337764183,38.69482146328572],[65.37266882611867,38.69482145675933],[65.31652433404804,38.69482148009758],[65.26037978655913,38.69482144962698],[65.20423525002836,38.69482147238543],[65.20423525002836,37.86110339138217],[65.26037978655913,37.86110332221675]]]}"
0_00000000000000000008,Russia,5,0.10511862955830101,Manych-Stavropol Krai-Russia,stopover,1995.0,"{""type"":""Polygon"",""coordinates"":[[[43.8601727696604,45.23347334993363],[43.91631737398442,45.233473343584954],[43.97246190727554,45.23347336037378],[44.02860644042021,45.23347335720998],[44.084750953811124,45.23347333450293],[44.14089551630179,45.23347333825126],[44.19704001996232,45.23347332320872],[44.2531845337779,45.23347333529078],[44.30932912840422,45.233473330842614],[44.36547369426896,45.23347335401974],[44.42161821316802,45.23347331580047],[44.47776275310055,45.233473351113],[44.53390729581767,45.23347337079234],[44.590051821765016,45.23347337504503],[44.64619631139107,45.23347336409415],[44.702340923866366,45.23347333880089],[44.70234091494723,46.06719145907379],[44.64619637696164,46.06719146545515],[44.590051865031306,46.067191487785365],[44.533907307112486,46.06719147997709],[44.47776281249332,46.06719148786627],[44.421618217552265,46.067191510182134],[44.36547363262881,46.06719150169505],[44.30932907647674,46.06719146221499],[44.253184566275465,46.06719148260116],[44.19704003019351,46.06719151632357],[44.1408954886393,46.0671914720269],[44.08475095863352,46.0671914404368],[44.02860636667799,46.067191465744735],[43.972461915526054,46.06719145864537],[43.91631734960845,46.06719146112154],[43.86017286969335,46.067191474988476],[43.80402822248436,46.06719145069654],[43.80402820431395,45.23347333544231],[43.8601727696604,45.23347334993363]]]}"
0_00000000000000000004,Turkey,6,0.09601403860818342,Ceylanpinar-Turkey,stopover,1995.0,"{""type"":""Polygon"",""coordinates"":[[[39.29117718718563,36.37682469808789],[39.347321699427525,36.37682467978753],[39.403466298275724,36.37682463910129],[39.459610844554554,36.37682469879469],[39.5157553567617,36.37682470940928],[39.57189993150103,36.376824700035584],[39.628044427994446,36.37682465285342],[39.684188941418135,36.37682466606891],[39.74033348727132,36.37682465893957],[39.796478080300304,36.376824690061405],[39.852622577510715,36.37682467093202],[39.90876714941618,36.37682466676662],[39.96491165180215,36.37682472799048],[40.02105625337928,36.37682464016882],[40.07720080870939,36.376824662176915],[40.13334532843741,36.37682464173286],[40.1333453284374,37.21054277575803],[40.0772008087094,37.21054277332029],[40.02105625337928,37.2105428096999],[39.96491165180215,37.210542831457026],[39.90876714941618,37.21054279047492],[39.85262257751071,37.210542833811395],[39.796478080300304,37.21054277485558],[39.74033348727132,37.21054282891378],[39.684188941418135,37.21054280870766],[39.628044427994446,37.21054279689584],[39.57189993150104,37.21054280676158],[39.5157553567617,37.210542813388],[39.459610844554554,37.21054276653764],[39.403466298275724,37.21054277904624],[39.34732169942751,37.21054279351746],[39.291177187185625,37.21054282835225],[39.23503266270502,37.21054278739139],[39.23503266270502,36.37682466376401],[39.29117718718563,36.37682469808789]]]}"
0_0000000000000000000b,Turkey,6,0.06882408109200974,Malazgirt Plain-Turkey,stopover,1995.0,"{""type"":""Polygon"",""coordinates"":[[[42.14912238002553,38.74771089224837],[42.205267106054436,38.74771087106515],[42.26141197752066,38.74771087864099],[42.31755673970468,38.7477108712888],[42.37370167356047,38.747710859963696],[42.429846519740465,38.74771087634865],[42.48599125617373,38.74771084672966],[42.54213608061944,38.74771089195606],[42.598280896205395,38.74771089817016],[42.65442567636565,38.74771086660282],[42.71057054448463,38.7477108777931],[42.766715399338274,38.747710893133544],[42.8228601395001,38.74771087423681],[42.879004967495796,38.74771086571875],[42.93514985704434,38.747710868483175],[42.99129462796142,38.747710879865174],[42.99129466033176,39.58142897281254],[42.93514983980554,39.581428989580075],[42.87900508570124,39.58142899732341],[42.82286018636799,39.58142902777249],[42.766715327970864,39.58142900663312],[42.710570532195284,39.58142901005043],[42.654425748123835,39.581428996402664],[42.59828092086615,39.58142900097875],[42.542136075916275,39.58142902258645],[42.485991243194285,39.58142898297401],[42.42984652012788,39.58142899897455],[42.37370162326322,39.58142898293045],[42.317556811079655,39.58142897918263],[42.26141195247202,39.58142898164695],[42.205267229755336,39.58142899407545],[42.14912235524102,39.58142900501209],[42.092977511299054,39.5814290181536],[42.09297752344191,38.747710855567746],[42.14912238002553,38.74771089224837]]]}"
0_00000000000000000006,Azerbaijan,8,0.10685388050988828,East-Azerbaijan,stopover,1995.0,"{""type"":""Polygon"",""coordinates"":[[[48.35843844883597,39.70907969342969],[48.41458319417788,39.7090796870498],[48.47072805377195,39.70907965660221],[48.52687285101568,39.70907968403643],[48.58301771087362,39.70907968395336],[48.639162532151985,39.709079696556834],[48.69530736418903,39.7090796781904],[48.75145210586133,39.70907966920509],[48.80759696980365,39.709079696210125],[48.86374176662535,39.709079686985284],[48.91988655203305,39.70907967491543],[48.97603138185762,39.70907969319677],[49.03217622308039,39.7090796626095],[49.08832105663588,39.70907965853051],[49.14446585653874,39.70907967907088],[49.20061067138621,39.70907967988155],[49.200610667705476,40.542797816590245],[49.14446588357414,40.54279784250292],[49.0883211288936,40.5427978096837],[49.03217627672447,40.54279780683509],[48.976031428422104,40.542797792365896],[48.919886532892136,40.542797811419106],[48.8637417679597,40.5427977793467],[48.8075969296182,40.54279782769698],[48.75145218894686,40.54279779274252],[48.6953073416322,40.54279780561272],[48.63916248917679,40.54279782484444],[48.58301773330444,40.542797809199804],[48.52687286253747,40.54279781008014],[48.4707280616881,40.54279782242514],[48.414583272661304,40.54279781161945],[48.35843844354778,40.54279782205627],[48.30229359323472,40.54279777604445],[48.30229352972524,39.709079689717726],[48.35843844883597,39.70907969342969]]]}"
