system:index,country,id,median,region,season,year
0_00000000000000000003,Kazakhstan,4,0.097167715,Korgalzhyn-Kazakhstan,breed,2001
0_0000000000000000000e,Kazakhstan,4,0.10521238,Pavlodar-Kazakhstan,breed,2001
0_00000000000000000001,Saudi Arab,2,0.097172944,Pivot irrigation I-Saudi Arabia,stopover,2001
0_00000000000000000009,Saudi Arab,2,0.093238652,Pivot irrigation II-Saudi Arabia,stopover,2001
0_00000000000000000002,Afghanista,3,0.096027561,Lowlands-Northern Afghanistan,stopover,2001
0_0000000000000000000a,Uzbek-Turk,3,0.095579734,Tallymarzhan-Turkmenistan-Uzbekistan,stopover,2001
0_00000000000000000008,Russia,5,0.099043371,Manych-Stavropol Krai-Russia,stopover,2001
0_00000000000000000004,Turkey,6,0.096018612,Ceylanpinar-Turkey,stopover,2001
0_0000000000000000000b,Turkey,6,0.062031283,Malazgirt Plain-Turkey,stopover,2001
0_00000000000000000006,Azerbaijan,8,0.100153752,East-Azerbaijan,stopover,2001
0_00000000000000000007,China,9,0.098051816,Xinjiang-China,stopover,2001
0_00000000000000000000,India,1,0.101734468,Gujarat-India,winter,2001
0_0000000000000000000c,Pakistan,1,0.097921465,Indus-Pakistan,winter,2001
0_0000000000000000000d,Pakistan,1,0.099343521,Indus-Pakistan,winter,2001
0_00000000000000000005,Sudan,7,0.097128062,Kassala-Sudan,winter,2001
1_00000000000000000003,Kazakhstan,4,0.100918608,Korgalzhyn-Kazakhstan,breed,2002
1_0000000000000000000e,Kazakhstan,4,0.10121584,Pavlodar-Kazakhstan,breed,2002
1_00000000000000000001,Saudi Arab,2,0.097175523,Pivot irrigation I-Saudi Arabia,stopover,2002
1_00000000000000000009,Saudi Arab,2,0.0932382,Pivot irrigation II-Saudi Arabia,stopover,2002
1_00000000000000000002,Afghanista,3,0.097064853,Lowlands-Northern Afghanistan,stopover,2002
1_0000000000000000000a,Uzbek-Turk,3,0.096015707,Tallymarzhan-Turkmenistan-Uzbekistan,stopover,2002
1_00000000000000000008,Russia,5,0.12936072,Manych-Stavropol Krai-Russia,stopover,2002
1_00000000000000000004,Turkey,6,0.096019804,Ceylanpinar-Turkey,stopover,2002
1_0000000000000000000b,Turkey,6,0.062882515,Malazgirt Plain-Turkey,stopover,2002
1_00000000000000000006,Azerbaijan,8,0.101896223,East-Azerbaijan,stopover,2002
1_00000000000000000007,China,9,0.099183209,Xinjiang-China,stopover,2002
1_00000000000000000000,India,1,0.101750421,Gujarat-India,winter,2002
1_0000000000000000000c,Pakistan,1,0.097261266,Indus-Pakistan,winter,2002
1_0000000000000000000d,Pakistan,1,0.099844239,Indus-Pakistan,winter,2002
1_00000000000000000005,Sudan,7,0.097130814,Kassala-Sudan,winter,2002
2_00000000000000000003,Kazakhstan,4,0.099064025,Korgalzhyn-Kazakhstan,breed,2003
2_0000000000000000000e,Kazakhstan,4,0.101215314,Pavlodar-Kazakhstan,breed,2003
2_00000000000000000001,Saudi Arab,2,0.097178828,Pivot irrigation I-Saudi Arabia,stopover,2003
2_00000000000000000009,Saudi Arab,2,0.093237393,Pivot irrigation II-Saudi Arabia,stopover,2003
2_00000000000000000002,Afghanista,3,0.097059488,Lowlands-Northern Afghanistan,stopover,2003
2_0000000000000000000a,Uzbek-Turk,3,0.098340675,Tallymarzhan-Turkmenistan-Uzbekistan,stopover,2003
2_00000000000000000008,Russia,5,0.100939266,Manych-Stavropol Krai-Russia,stopover,2003
2_00000000000000000004,Turkey,6,0.096086362,Ceylanpinar-Turkey,stopover,2003
2_0000000000000000000b,Turkey,6,0.060912328,Malazgirt Plain-Turkey,stopover,2003
2_00000000000000000006,Azerbaijan,8,0.105219509,East-Azerbaijan,stopover,2003
2_00000000000000000007,China,9,0.099193871,Xinjiang-China,stopover,2003
2_00000000000000000000,India,1,0.101877447,Gujarat-India,winter,2003
2_0000000000000000000c,Pakistan,1,0.09823286,Indus-Pakistan,winter,2003
