system:index,country,id,median,region,season,year
0_00000000000000000003,Kazakhstan,4,0.100943135,Korgalzhyn-Kazakhstan,breed,2011
0_0000000000000000000e,Kazakhstan,4,0.102707194,Pavlodar-Kazakhstan,breed,2011
0_00000000000000000001,Saudi Arab,2,0.097170828,Pivot irrigation I-Saudi Arabia,stopover,2011
0_00000000000000000009,Saudi Arab,2,0.093236967,Pivot irrigation II-Saudi Arabia,stopover,2011
0_00000000000000000002,Afghanista,3,0.096028624,Lowlands-Northern Afghanistan,stopover,2011
0_0000000000000000000a,Uzbek-Turk,3,0.095578884,Tallymarzhan-Turkmenistan-Uzbekistan,stopover,2011
0_00000000000000000008,Russia,5,0.101944806,Manych-Stavropol Krai-Russia,stopover,2011
0_00000000000000000004,Turkey,6,0.096062602,Ceylanpinar-Turkey,stopover,2011
0_0000000000000000000b,Turkey,6,0.06286214,Malazgirt Plain-Turkey,stopover,2011
0_00000000000000000006,Azerbaijan,8,0.10388251,East-Azerbaijan,stopover,2011
0_00000000000000000007,China,9,0.099168498,Xinjiang-China,stopover,2011
0_00000000000000000000,India,1,0.114522517,Gujarat-India,winter,2011
0_0000000000000000000c,Pakistan,1,0.09821979,Indus-Pakistan,winter,2011
0_0000000000000000000d,Pakistan,1,0.099322747,Indus-Pakistan,winter,2011
0_00000000000000000005,Sudan,7,0.097128892,Kassala-Sudan,winter,2011
1_00000000000000000003,Kazakhstan,4,0.099349423,Korgalzhyn-Kazakhstan,breed,2012
1_0000000000000000000e,Kazakhstan,4,0.10119191,Pavlodar-Kazakhstan,breed,2012
1_00000000000000000001,Saudi Arab,2,0.097166724,Pivot irrigation I-Saudi Arabia,stopover,2012
1_00000000000000000009,Saudi Arab,2,0.093238106,Pivot irrigation II-Saudi Arabia,stopover,2012
1_00000000000000000002,Afghanista,3,0.097061819,Lowlands-Northern Afghanistan,stopover,2012
1_0000000000000000000a,Uzbek-Turk,3,0.096015623,Tallymarzhan-Turkmenistan-Uzbekistan,stopover,2012
1_00000000000000000008,Russia,5,0.109948275,Manych-Stavropol Krai-Russia,stopover,2012
